,Year,dec,dec_label,era,dp_flux,sigma,scaled_flux
200,2048,30,30°,Plenum-2,1.8100561502363134e-14,3,0.18100561502363133
201,2048,30,30°,Plenum-3,1.3001125638480853e-14,3,0.13001125638480854
202,2049,-30,-30°,Plenum-1,4.0958153789086205e-14,3,0.40958153789086205
203,2049,-30,-30°,Plenum-2,4.0958153789086205e-14,3,0.40958153789086205
204,2049,-30,-30°,Plenum-3,1.1881807661287459e-14,3,0.11881807661287459
205,2049,0,0°,IceCube,6.8562286464579e-14,3,0.68562286464579
206,2049,0,0°,Plenum-1,3.6641624215125966e-14,3,0.3664162421512597
207,2049,0,0°,Plenum-2,2.554651624286754e-14,3,0.2554651624286754
208,2049,0,0°,Plenum-3,1.2386759734100225e-14,3,0.12386759734100225
209,2049,30,30°,IceCube,4.050710049990262e-14,3,0.4050710049990262
210,2049,30,30°,Plenum-1,3.206571613722845e-14,3,0.3206571613722845
211,2049,30,30°,Plenum-2,1.7470325144866967e-14,3,0.17470325144866966
212,2049,30,30°,Plenum-3,1.2380615447910017e-14,3,0.12380615447910016
213,2050,-30,-30°,Plenum-1,3.97555450486629e-14,3,0.397555450486629
214,2050,-30,-30°,Plenum-2,3.97555450486629e-14,3,0.397555450486629
215,2050,-30,-30°,Plenum-3,1.1237197568422451e-14,3,0.11237197568422451
216,2050,0,0°,IceCube,6.749275745487387e-14,3,0.6749275745487388
217,2050,0,0°,Plenum-1,3.5776876610436965e-14,3,0.35776876610436964
218,2050,0,0°,Plenum-2,2.4777698247397418e-14,3,0.24777698247397417
219,2050,0,0°,Plenum-3,1.1764898550145526e-14,3,0.11764898550145526
220,2050,30,30°,IceCube,3.983324530053642e-14,3,0.3983324530053642
221,2050,30,30°,Plenum-1,3.1426376400041223e-14,3,0.3142637640004122
222,2050,30,30°,Plenum-2,1.6896385291841957e-14,3,0.16896385291841956
223,2050,30,30°,Plenum-3,1.1836952494409188e-14,3,0.11836952494409188
