,Year,dec,dec_label,identifier,dp_flux,sigma,scaled_flux
232,2033,30,30°,PLEnuM,1.9126230835682902e-14,5,0.19126230835682903
233,2034,-30,-30°,PLEnuM,3.9381702388448276e-14,5,0.39381702388448275
234,2034,0,0°,IceCube extrapolated,3.6212683838808865e-14,5,0.3621268383880886
235,2034,0,0°,PLEnuM,2.674872085163706e-14,5,0.2674872085163706
236,2034,30,30°,IceCube extrapolated,2.0016199542998346e-14,5,0.20016199542998345
237,2034,30,30°,PLEnuM,1.8536205238891077e-14,5,0.18536205238891076
238,2035,-30,-30°,PLEnuM,3.6195843187889026e-14,5,0.36195843187889026
239,2035,0,0°,IceCube extrapolated,3.540368964120199e-14,5,0.3540368964120199
240,2035,0,0°,PLEnuM,2.5544256916312364e-14,5,0.25544256916312363
241,2035,30,30°,IceCube extrapolated,1.9558002583918254e-14,5,0.19558002583918255
242,2035,30,30°,PLEnuM,1.799556972061564e-14,5,0.17995569720615642
243,2036,-30,-30°,PLEnuM,3.2548284827333636e-14,5,0.32548284827333634
244,2036,0,0°,IceCube extrapolated,3.464469201948531e-14,5,0.3464469201948531
245,2036,0,0°,PLEnuM,2.4136297124573127e-14,5,0.24136297124573128
246,2036,30,30°,IceCube extrapolated,1.9128441680560217e-14,5,0.19128441680560218
247,2036,30,30°,PLEnuM,1.7427011297723167e-14,5,0.17427011297723166
248,2037,-30,-30°,PLEnuM,2.9781921197945315e-14,5,0.29781921197945316
249,2037,0,0°,IceCube extrapolated,3.3930804619363715e-14,5,0.33930804619363714
250,2037,0,0°,PLEnuM,2.2930140232074857e-14,5,0.22930140232074858
251,2037,30,30°,IceCube extrapolated,1.8724698664045434e-14,5,0.18724698664045433
252,2037,30,30°,PLEnuM,1.690735178412371e-14,5,0.16907351784123711
253,2038,-30,-30°,PLEnuM,2.759456680143031e-14,5,0.2759456680143031
254,2038,0,0°,IceCube extrapolated,3.3257787827585944e-14,5,0.33257787827585944
255,2038,0,0°,PLEnuM,2.188230538127515e-14,5,0.21882305381275152
256,2038,30,30°,IceCube extrapolated,1.834432227148449e-14,5,0.18344322271484492
257,2038,30,30°,PLEnuM,1.6429990909229885e-14,5,0.16429990909229886
258,2039,-30,-30°,PLEnuM,2.581099220947508e-14,5,0.2581099220947508
259,2039,0,0°,IceCube extrapolated,3.262191792134355e-14,5,0.3262191792134355
260,2039,0,0°,PLEnuM,2.0961318425541924e-14,5,0.20961318425541925
261,2039,30,30°,IceCube extrapolated,1.7985178863608885e-14,5,0.17985178863608886
262,2039,30,30°,PLEnuM,1.598956989965388e-14,5,0.1598956989965388
263,2040,-30,-30°,PLEnuM,2.4321847650003084e-14,5,0.24321847650003084
264,2040,0,0°,IceCube extrapolated,3.20199413171588e-14,5,0.32019941317158795
265,2040,0,0°,PLEnuM,2.0143759052547882e-14,5,0.20143759052547883
266,2040,30,30°,IceCube extrapolated,1.7645395175033125e-14,5,0.17645395175033124
267,2040,30,30°,PLEnuM,1.5581586287456392e-14,5,0.15581586287456392
268,2041,-30,-30°,PLEnuM,2.3055022727453043e-14,5,0.23055022727453042
269,2041,0,0°,IceCube extrapolated,3.1448992673778985e-14,5,0.31448992673778986
270,2041,0,0°,PLEnuM,1.854875319274912e-14,5,0.1854875319274912
271,2041,30,30°,IceCube extrapolated,1.7323316619554967e-14,5,0.17323316619554968
272,2041,30,30°,PLEnuM,1.3963641616403814e-14,5,0.13963641616403813
273,2042,-30,-30°,PLEnuM,2.1960788356970584e-14,5,0.21960788356970584
274,2042,0,0°,IceCube extrapolated,3.090652345828291e-14,5,0.3090652345828291
275,2042,0,0°,PLEnuM,1.7274860290002113e-14,5,0.17274860290002114
276,2042,30,30°,IceCube extrapolated,1.7017475316080993e-14,5,0.17017475316080993
277,2042,30,30°,PLEnuM,1.2750260402270717e-14,5,0.12750260402270716
278,2043,-30,-30°,PLEnuM,2.1003635587232814e-14,5,0.21003635587232813
279,2043,0,0°,IceCube extrapolated,3.0390268721334405e-14,5,0.30390268721334407
280,2043,0,0°,PLEnuM,1.6227903087081014e-14,5,0.16227903087081014
281,2043,30,30°,IceCube extrapolated,1.672657914871064e-14,5,0.16726579148710638
282,2043,30,30°,PLEnuM,1.1798198377429746e-14,5,0.11798198377429746
283,2044,-30,-30°,PLEnuM,2.015745298317914e-14,5,0.20157452983179142
284,2044,0,0°,IceCube extrapolated,2.9898205918913466e-14,5,0.2989820591891347
285,2044,0,0°,PLEnuM,1.5347818402082202e-14,5,0.15347818402082203
286,2044,30,30°,IceCube extrapolated,1.6449464569508737e-14,5,0.16449464569508737
287,2044,30,30°,PLEnuM,1.1026152662097822e-14,5,0.11026152662097823
288,2045,-30,-30°,PLEnuM,1.940256800970296e-14,5,0.1940256800970296
289,2045,0,0°,IceCube extrapolated,2.9428526770946304e-14,5,0.29428526770946306
290,2045,0,0°,PLEnuM,1.4595309311026822e-14,5,0.14595309311026822
291,2045,30,30°,IceCube extrapolated,1.6185091364240713e-14,5,0.16185091364240714
292,2045,30,30°,PLEnuM,1.0384187669885578e-14,5,0.10384187669885578
293,2046,-30,-30°,PLEnuM,1.8723837054819252e-14,5,0.18723837054819253
294,2046,0,0°,IceCube extrapolated,2.897960120057114e-14,5,0.28979601200571137
295,2046,0,0°,PLEnuM,1.3941452919229783e-14,5,0.13941452919229783
296,2046,30,30°,IceCube extrapolated,1.5932526295444503e-14,5,0.15932526295444502
297,2046,30,30°,PLEnuM,9.839771919533486e-15,5,0.09839771919533485
298,2047,-30,-30°,PLEnuM,1.8109400425047667e-14,5,0.18109400425047667
299,2047,0,0°,IceCube extrapolated,2.8549963318865166e-14,5,0.2854996331886517
300,2047,0,0°,PLEnuM,1.3366816017369653e-14,5,0.13366816017369654
301,2047,30,30°,IceCube extrapolated,1.5690927644654e-14,5,0.15690927644653999
302,2047,30,30°,PLEnuM,9.370696751059478e-15,5,0.09370696751059478
303,2048,-30,-30°,PLEnuM,1.754981534898943e-14,5,0.1754981534898943
304,2048,0,0°,IceCube extrapolated,2.813828305885483e-14,5,0.2813828305885483
305,2048,0,0°,PLEnuM,1.2856662974191028e-14,5,0.12856662974191027
306,2048,30,30°,IceCube extrapolated,1.545953752428101e-14,5,0.15459537524281008
307,2048,30,30°,PLEnuM,8.961150656521076e-15,5,0.08961150656521076
308,2049,-30,-30°,PLEnuM,1.703746276905023e-14,5,0.1703746276905023
309,2049,0,0°,IceCube extrapolated,2.7743359518485044e-14,5,0.27743359518485045
310,2049,0,0°,PLEnuM,1.2399821750492625e-14,5,0.12399821750492625
311,2049,30,30°,IceCube extrapolated,1.5237663625574477e-14,5,0.15237663625574477
312,2049,30,30°,PLEnuM,8.599650535173952e-15,5,0.08599650535173951
313,2050,-30,-30°,PLEnuM,1.656611811744621e-14,5,0.16566118117446207
314,2050,0,0°,IceCube extrapolated,2.736409681710512e-14,5,0.2736409681710512
315,2050,0,0°,PLEnuM,1.198765408169158e-14,5,0.1198765408169158
316,2050,30,30°,IceCube extrapolated,1.5024679551753133e-14,5,0.15024679551753134
317,2050,30,30°,PLEnuM,8.27756527281105e-15,5,0.0827756527281105
318,2051,-30,-30°,PLEnuM,1.6130652322652045e-14,5,0.16130652322652045
319,2051,0,0°,IceCube extrapolated,2.6999498660106326e-14,5,0.26999498660106325
320,2051,0,0°,PLEnuM,1.1613354182333799e-14,5,0.11613354182333799
321,2051,30,30°,IceCube extrapolated,1.4820021046634332e-14,5,0.14820021046634332
322,2051,30,30°,PLEnuM,7.988271863413783e-15,5,0.07988271863413783
323,2052,-30,-30°,PLEnuM,1.57267764133061e-14,5,0.157267764133061
324,2052,0,0°,IceCube extrapolated,2.664865377793048e-14,5,0.2664865377793048
325,2052,0,0°,PLEnuM,1.1271505059841045e-14,5,0.11271505059841046
326,2052,30,30°,IceCube extrapolated,1.462316328008231e-14,5,0.1462316328008231
327,2052,30,30°,PLEnuM,7.726600345598046e-15,5,0.07726600345598046
328,2053,-30,-30°,PLEnuM,1.535088829575674e-14,5,0.1535088829575674
329,2053,0,0°,IceCube extrapolated,2.6310727851155953e-14,5,0.2631072785115595
330,2053,0,0°,PLEnuM,1.0957648525823656e-14,5,0.10957648525823656
331,2053,30,30°,IceCube extrapolated,1.4433630708516622e-14,5,0.14433630708516623
332,2053,30,30°,PLEnuM,7.4884571012661e-15,5,0.074884571012661
333,2054,-30,-30°,PLEnuM,1.499993219775798e-14,5,0.1499993219775798
334,2054,0,0°,IceCube extrapolated,2.5984954854184257e-14,5,0.25984954854184256
335,2054,0,0°,PLEnuM,1.0668211449305494e-14,5,0.10668211449305494
336,2054,30,30°,IceCube extrapolated,1.425098584819555e-14,5,0.1425098584819555
