,LLH,energy_res,ident,ts,conv,phi_astro,gamma,delta_ts
122,local,baseline,IceCube,-307069.20368887286,1.0225320538919431,0.6,3.549999999999997,4.573664953932166
123,local,baseline,IceCube,-307069.0212477912,1.0218155630227848,0.6,3.599999999999997,4.756106035609264
124,local,baseline,IceCube,-307068.86719368456,1.020970515766572,0.6,3.649999999999997,4.91016014222987
125,local,baseline,IceCube,-307068.7399993998,1.0199777271337545,0.6,3.6999999999999966,5.037354426982347
126,local,baseline,IceCube,-307068.63749725337,1.0188492323017937,0.6,3.7499999999999964,5.139856573427096
127,local,baseline,IceCube,-307068.55695784785,1.0175692790951882,0.6,3.7999999999999963,5.220395978947636
128,local,baseline,IceCube,-307068.4951352276,1.0161318900848788,0.6,3.849999999999996,5.282218599168118
129,local,baseline,IceCube,-307068.44828051096,1.0145420398172822,0.6,3.899999999999996,5.329073315835558
130,local,baseline,IceCube,-307068.41212553525,1.0127810930126155,0.6,3.9499999999999957,5.365228291542735
131,local,baseline,IceCube,-307066.8843482101,1.0089449684561815,0.6499999999999999,2.7,6.893005616671871
132,local,baseline,IceCube,-307069.1346241749,1.0110399135964105,0.6499999999999999,2.75,4.642729651881382
133,local,baseline,IceCube,-307070.664443868,1.012889417081088,0.6499999999999999,2.8,3.112909958814271
134,local,baseline,IceCube,-307071.654579326,1.014509596204308,0.6499999999999999,2.8499999999999996,2.1227745008072816
135,local,baseline,IceCube,-307072.24315739516,1.0159277742514436,0.6499999999999999,2.8999999999999995,1.5341964316321537
136,local,baseline,IceCube,-307072.5359437929,1.01714312639779,0.6499999999999999,2.9499999999999993,1.2414100338937715
137,local,baseline,IceCube,-307072.6140189893,1.018177750354876,0.6499999999999999,2.999999999999999,1.1633348374743946
138,local,baseline,IceCube,-307072.5395440664,1.0190316797776193,0.6499999999999999,3.049999999999999,1.237809760379605
139,local,baseline,IceCube,-307072.36011722265,1.0197221972622064,0.6499999999999999,3.0999999999999988,1.417236604145728
140,local,baseline,IceCube,-307072.112083166,1.0202481500619935,0.6499999999999999,3.1499999999999986,1.665270660771057
141,local,baseline,IceCube,-307071.82305900636,1.0206290916259537,0.6499999999999999,3.1999999999999984,1.9542948204325512
142,local,baseline,IceCube,-307071.51387013035,1.0208487738117962,0.6499999999999999,3.2499999999999982,2.263483696442563
143,local,baseline,IceCube,-307071.20003953064,1.0209344389536952,0.6499999999999999,3.299999999999998,2.5773142961552367
144,local,baseline,IceCube,-307070.89293623855,1.0208710645327992,0.6499999999999999,3.349999999999998,2.884417588240467
145,local,baseline,IceCube,-307070.60066332633,1.0206683433373314,0.6499999999999999,3.3999999999999977,3.1766905004624277
146,local,baseline,IceCube,-307070.3287445926,1.0203194710451917,0.6499999999999999,3.4499999999999975,3.4486092341830954
147,local,baseline,IceCube,-307070.0806556308,1.0198363708955527,0.6499999999999999,3.4999999999999973,3.6966981959994882
148,local,baseline,IceCube,-307069.85823342926,1.0192108373767694,0.6499999999999999,3.549999999999997,3.9191203975351527
149,local,baseline,IceCube,-307069.6619908142,1.018439214380784,0.6499999999999999,3.599999999999997,4.115363012591843
150,local,baseline,IceCube,-307069.4913552931,1.017525969044355,0.6499999999999999,3.649999999999997,4.2859985337127
151,local,baseline,IceCube,-307069.34484740515,1.0164595140295063,0.6499999999999999,3.6999999999999966,4.432506421639118
152,local,baseline,IceCube,-307069.22020925436,1.0152404243039586,0.6499999999999999,3.7499999999999964,4.557144572434481
153,local,baseline,IceCube,-307069.11449108645,1.013869055911912,0.6499999999999999,3.7999999999999963,4.662862740340643
154,local,baseline,IceCube,-307069.0241005687,1.0123295910500256,0.6499999999999999,3.849999999999996,4.753253258066252
155,local,baseline,IceCube,-307068.9448177362,1.0106199406432121,0.6499999999999999,3.899999999999996,4.83253609057283
156,local,baseline,IceCube,-307068.8717772119,1.0087381044685055,0.6499999999999999,3.9499999999999957,4.9055766148958355
157,local,baseline,IceCube,-307065.71626136824,1.0054630689893425,0.7,2.7,8.061092458548956
158,local,baseline,IceCube,-307068.3718487385,1.0076360564796951,0.7,2.75,5.405505088274367
159,local,baseline,IceCube,-307070.22156321147,1.009554781254563,0.7,2.8,3.5557906153262593
160,local,baseline,IceCube,-307071.4637771257,1.011236621757083,0.7,2.8499999999999996,2.3135767010971904
161,local,baseline,IceCube,-307072.2504260302,1.0127026246608772,0.7,2.8999999999999995,1.5269277965999208
162,local,baseline,IceCube,-307072.6981604927,1.0139642505831368,0.7,2.9499999999999993,1.07919333409518
163,local,baseline,IceCube,-307072.8966761252,1.0150269745278848,0.7,2.999999999999999,0.8806777016143315
164,local,baseline,IceCube,-307072.91497618274,1.0159136229489552,0.7,3.049999999999999,0.8623776440508664
165,local,baseline,IceCube,-307072.8061073551,1.0166209128104442,0.7,3.0999999999999988,0.9712464716867544
166,local,baseline,IceCube,-307072.6107609289,1.0171662905882624,0.7,3.1499999999999986,1.1665928979055025
167,local,baseline,IceCube,-307072.36002377793,1.0175425175214219,0.7,3.1999999999999984,1.4173300488619134
168,local,baseline,IceCube,-307072.0774890783,1.0177648127225964,0.7,3.2499999999999982,1.69986474851612
169,local,baseline,IceCube,-307071.78088155045,1.0178327232518685,0.7,3.299999999999998,1.996472276339773
170,local,baseline,IceCube,-307071.4833122849,1.017752635197268,0.7,3.349999999999998,2.2940415418706834
171,local,baseline,IceCube,-307071.19424947246,1.0175211527925403,0.7,3.3999999999999977,2.583104354329407
172,local,baseline,IceCube,-307070.9202699462,1.0171440012167163,0.7,3.4499999999999975,2.8570838805753738
173,local,baseline,IceCube,-307070.6656405962,1.0166159805475552,0.7,3.4999999999999973,3.111713230609894
174,local,baseline,IceCube,-307070.43276690505,1.0159364237469,0.7,3.549999999999997,3.344586921739392
175,local,baseline,IceCube,-307070.2225370722,1.0151085550340926,0.7,3.599999999999997,3.5548167545930482
176,local,baseline,IceCube,-307070.0345831795,1.0141289600100016,0.7,3.649999999999997,3.7427706472808495
177,local,baseline,IceCube,-307069.86747574905,1.012984791721543,0.7,3.6999999999999966,3.909878077742178
178,local,baseline,IceCube,-307069.7188637039,1.0116867541076355,0.7,3.7499999999999964,4.058490122901276
179,local,baseline,IceCube,-307069.5855680353,1.0102157991855771,0.7,3.7999999999999963,4.191785791481379
180,local,baseline,IceCube,-307069.46363516245,1.008577691868427,0.7,3.849999999999996,4.313718664343469
181,local,baseline,IceCube,-307069.34835259896,1.0067560471664958,0.7,3.899999999999996,4.429001227836125
182,local,baseline,IceCube,-307069.2342292527,1.0047504502753555,0.7,3.9499999999999957,4.5431245741201565
183,local,baseline,IceCube,-307064.367057662,1.0020597758112928,0.75,2.7,9.410296164802276
184,local,baseline,IceCube,-307067.44254706486,1.004304771733858,0.75,2.75,6.334806761937216
185,local,baseline,IceCube,-307069.6251514964,1.0062883090547405,0.75,2.8,4.1522023304132745
186,local,baseline,IceCube,-307071.1310025813,1.0080305243002086,0.75,2.8499999999999996,2.646351245464757
187,local,baseline,IceCube,-307072.12598374055,1.009547268610983,0.75,2.8999999999999995,1.6513700862415135
188,local,baseline,IceCube,-307072.7377522113,1.0108480247890625,0.75,2.9499999999999993,1.039601615513675
189,local,baseline,IceCube,-307073.0647252962,1.0119445265603872,0.75,2.999999999999999,0.7126285305712372
190,local,baseline,IceCube,-307073.18284126197,1.01285260845441,0.75,3.049999999999999,0.5945125648286194
191,local,baseline,IceCube,-307073.15067643055,1.0135789258057273,0.75,3.0999999999999988,0.6266773962415755
192,local,baseline,IceCube,-307073.0133389945,1.0141306161032289,0.75,3.1499999999999986,0.7640148322680034
193,local,baseline,IceCube,-307072.8054465425,1.0145066561568932,0.75,3.1999999999999984,0.9719072842854075
194,local,baseline,IceCube,-307072.55341243395,1.014723692271694,0.75,3.2499999999999982,1.2239413928473368
195,local,baseline,IceCube,-307072.27720796113,1.0147851424133205,0.75,3.299999999999998,1.500145865662489
