,Year,dec,dec_label,era,dp_flux,sigma,scaled_flux
83,2037,0,0°,Plenum-2,1.248034446317358e-20,3,1.248034446317358
84,2037,30,30°,IceCube,3.410084555249798e-20,3,3.4100845552497985
85,2037,30,30°,Plenum-1,2.394083675082114e-20,3,2.394083675082114
86,2037,30,30°,Plenum-2,2.026153642886825e-20,3,2.026153642886825
87,2038,-30,-30°,Plenum-1,3.784034635629556e-20,3,3.784034635629556
88,2038,-30,-30°,Plenum-2,3.784034635629556e-20,3,3.784034635629556
89,2038,0,0°,IceCube,1.864781931025156e-20,3,1.8647819310251559
90,2038,0,0°,Plenum-1,1.5228797263050975e-20,3,1.5228797263050975
91,2038,0,0°,Plenum-2,1.1060200283485287e-20,3,1.1060200283485286
92,2038,30,30°,IceCube,3.3249864403966495e-20,3,3.3249864403966494
93,2038,30,30°,Plenum-1,2.2898486232701296e-20,3,2.2898486232701294
94,2038,30,30°,Plenum-2,1.8072652216688503e-20,3,1.8072652216688503
95,2039,-30,-30°,Plenum-1,3.5298662249279e-20,3,3.5298662249278996
96,2039,-30,-30°,Plenum-2,3.5298662249279e-20,3,3.5298662249278996
97,2039,0,0°,IceCube,1.8149827646829605e-20,3,1.8149827646829606
98,2039,0,0°,Plenum-1,1.468361601904828e-20,3,1.4683616019048282
99,2039,0,0°,Plenum-2,9.967885534257936e-21,3,0.9967885534257936
100,2039,30,30°,IceCube,3.24493366360056e-20,3,3.24493366360056
101,2039,30,30°,Plenum-1,2.1922947556355202e-20,3,2.1922947556355203
102,2039,30,30°,Plenum-2,1.643553406530054e-20,3,1.643553406530054
103,2040,-30,-30°,Plenum-1,3.313274504101001e-20,3,3.3132745041010008
104,2040,-30,-30°,Plenum-2,3.313274504101001e-20,3,3.3132745041010008
105,2040,-30,-30°,Plenum-3,3.313274504101001e-20,3,3.3132745041010008
106,2040,0,0°,IceCube,1.7682549418002423e-20,3,1.7682549418002425
107,2040,0,0°,Plenum-1,1.41911402903047e-20,3,1.4191140290304698
108,2040,0,0°,Plenum-2,9.098347313542025e-21,3,0.9098347313542026
109,2040,0,0°,Plenum-3,9.098347313542025e-21,3,0.9098347313542026
110,2040,30,30°,IceCube,3.169361134462387e-20,3,3.169361134462387
111,2040,30,30°,Plenum-1,2.1177157474525358e-20,3,2.117715747452536
112,2040,30,30°,Plenum-2,1.516886571295301e-20,3,1.516886571295301
113,2040,30,30°,Plenum-3,1.516886571295301e-20,3,1.516886571295301
114,2041,-30,-30°,Plenum-1,3.1261678375373504e-20,3,3.1261678375373503
115,2041,-30,-30°,Plenum-2,3.1261678375373504e-20,3,3.1261678375373503
116,2041,-30,-30°,Plenum-3,1.7455532449514706e-20,3,1.7455532449514706
117,2041,0,0°,IceCube,1.7243173752058807e-20,3,1.7243173752058807
118,2041,0,0°,Plenum-1,1.374430110371386e-20,3,1.3744301103713858
119,2041,0,0°,Plenum-2,8.387672176403727e-21,3,0.8387672176403728
120,2041,0,0°,Plenum-3,7.537299590676289e-21,3,0.7537299590676289
121,2041,30,30°,IceCube,3.0980488279305086e-20,3,3.0980488279305085
122,2041,30,30°,Plenum-1,2.0333626308260203e-20,3,2.03336263082602
123,2041,30,30°,Plenum-2,1.4116593260754122e-20,3,1.4116593260754122
124,2041,30,30°,Plenum-3,1.1530582190377631e-20,3,1.1530582190377632
125,2042,-30,-30°,Plenum-1,2.962632433167009e-20,3,2.962632433167009
126,2042,-30,-30°,Plenum-2,2.962632433167009e-20,3,2.962632433167009
