,Year,dec,dec_label,era,dp_flux,sigma,scaled_flux
114,2041,-30,-30°,Plenum-1,1.3734934613691896e-14,3,1.3734934613691896
115,2041,-30,-30°,Plenum-2,1.3734934613691896e-14,3,1.3734934613691896
116,2041,-30,-30°,Plenum-3,8.964971332453452e-15,3,0.8964971332453452
117,2041,0,0°,IceCube,2.073225853578387e-14,3,2.073225853578387
118,2041,0,0°,Plenum-1,1.2110119393309906e-14,3,1.2110119393309906
119,2041,0,0°,Plenum-2,9.928585529800753e-15,3,0.9928585529800753
120,2041,0,0°,Plenum-3,7.923818144491996e-15,3,0.7923818144491996
121,2041,30,30°,IceCube,1.1255589760023937e-14,3,1.1255589760023936
122,2041,30,30°,Plenum-1,9.751053606009425e-15,3,0.9751053606009424
123,2041,30,30°,Plenum-2,6.79711488648474e-15,3,0.679711488648474
124,2041,30,30°,Plenum-3,6.304314622424691e-15,3,0.6304314622424692
125,2042,-30,-30°,Plenum-1,1.3196697381832514e-14,3,1.3196697381832514
126,2042,-30,-30°,Plenum-2,1.3196697381832514e-14,3,1.3196697381832514
127,2042,-30,-30°,Plenum-3,7.0368063804899796e-15,3,0.7036806380489979
128,2042,0,0°,IceCube,2.0385009958648032e-14,3,2.038500995864803
129,2042,0,0°,Plenum-1,1.1741437711401238e-14,3,1.174143771140124
130,2042,0,0°,Plenum-2,9.475102788843663e-15,3,0.9475102788843663
131,2042,0,0°,Plenum-3,6.6280267347283955e-15,3,0.6628026734728395
132,2042,30,30°,IceCube,1.1063045503218467e-14,3,1.1063045503218467
133,2042,30,30°,Plenum-1,9.53721170848968e-15,3,0.953721170848968
134,2042,30,30°,Plenum-2,6.4525331185386425e-15,3,0.6452533118538643
135,2042,30,30°,Plenum-3,5.6732360893599875e-15,3,0.5673236089359988
136,2043,-30,-30°,Plenum-1,1.2715671410007964e-14,3,1.2715671410007965
137,2043,-30,-30°,Plenum-2,1.2715671410007964e-14,3,1.2715671410007965
138,2043,-30,-30°,Plenum-3,5.9729149353401586e-15,3,0.5972914935340159
139,2043,0,0°,IceCube,2.0054255566288636e-14,3,2.0054255566288637
140,2043,0,0°,Plenum-1,1.1403799546972978e-14,3,1.1403799546972977
141,2043,0,0°,Plenum-2,9.077876566848056e-15,3,0.9077876566848055
142,2043,0,0°,Plenum-3,5.8085800147416514e-15,3,0.5808580014741651
143,2043,30,30°,IceCube,1.0879752171006858e-14,3,1.0879752171006858
144,2043,30,30°,Plenum-1,9.336488756149659e-15,3,0.9336488756149659
145,2043,30,30°,Plenum-2,6.154609577716257e-15,3,0.6154609577716257
146,2043,30,30°,Plenum-3,5.1985758139496594e-15,3,0.519857581394966
147,2044,-30,-30°,Plenum-1,1.228247343817186e-14,3,1.228247343817186
148,2044,-30,-30°,Plenum-2,1.228247343817186e-14,3,1.228247343817186
149,2044,-30,-30°,Plenum-3,5.276635941764644e-15,3,0.5276635941764644
150,2044,0,0°,IceCube,1.97387401104699e-14,3,1.9738740110469901
