,Local source density,width,Fraction of total flux,E2flux,Nsrc,cumulative_Nsrc,flux
137,$10^{-6}$/Mpc$^3$,SC,1.0,-32.18120805369128,0.0,13293768.442600906,-35.78120805369128
138,$10^{-6}$/Mpc$^3$,SC,1.0,-32.41610738255034,0.0,13293768.442600906,-36.01610738255034
139,$10^{-6}$/Mpc$^3$,SC,1.0,-32.651006711409394,0.0,13293768.442600906,-36.251006711409396
140,$10^{-6}$/Mpc$^3$,SC,1.0,-32.88590604026846,0.0,13293768.442600906,-36.48590604026846
141,$10^{-6}$/Mpc$^3$,SC,1.0,-33.12080536912752,0.0,13293768.442600906,-36.72080536912752
142,$10^{-6}$/Mpc$^3$,SC,1.0,-33.355704697986575,0.0,13293768.442600906,-36.955704697986576
143,$10^{-6}$/Mpc$^3$,SC,1.0,-33.59060402684564,0.0,13293768.442600906,-37.19060402684564
144,$10^{-6}$/Mpc$^3$,SC,1.0,-33.8255033557047,0.0,13293768.442600906,-37.4255033557047
145,$10^{-6}$/Mpc$^3$,SC,1.0,-34.060402684563755,0.0,13293768.442600906,-37.660402684563756
146,$10^{-6}$/Mpc$^3$,SC,1.0,-34.29530201342282,0.0,13293768.442600906,-37.89530201342282
147,$10^{-6}$/Mpc$^3$,SC,1.0,-34.53020134228188,0.0,13293768.442600906,-38.13020134228188
148,$10^{-6}$/Mpc$^3$,SC,1.0,-34.76510067114094,0.0,13293768.442600906,-38.365100671140944
149,$10^{-6}$/Mpc$^3$,SC,1.0,-35.0,0.0,13293768.442600906,-38.6
0,$10^{-7}$/Mpc$^3$,SC,1.0,0.0,0.0,0.0,-3.5999999999999996
1,$10^{-7}$/Mpc$^3$,SC,1.0,-0.23489932885905773,0.0,0.0,-3.8348993288590574
2,$10^{-7}$/Mpc$^3$,SC,1.0,-0.46979865771812257,0.0,0.0,-4.069798657718122
3,$10^{-7}$/Mpc$^3$,SC,1.0,-0.7046979865771803,0.0,0.0,-4.30469798657718
4,$10^{-7}$/Mpc$^3$,SC,1.0,-0.9395973154362451,0.0,0.0,-4.539597315436245
5,$10^{-7}$/Mpc$^3$,SC,1.0,-1.1744966442953029,0.0,0.0,-4.7744966442953025
6,$10^{-7}$/Mpc$^3$,SC,1.0,-1.4093959731543606,0.0,0.0,-5.00939597315436
7,$10^{-7}$/Mpc$^3$,SC,1.0,-1.6442953020134254,0.0,0.0,-5.244295302013425
8,$10^{-7}$/Mpc$^3$,SC,1.0,-1.8791946308724832,0.0,0.0,-5.479194630872483
9,$10^{-7}$/Mpc$^3$,SC,1.0,-2.114093959731548,0.0,0.0,-5.714093959731548
10,$10^{-7}$/Mpc$^3$,SC,1.0,-2.3489932885906057,0.0,0.0,-5.948993288590605
11,$10^{-7}$/Mpc$^3$,SC,1.0,-2.5838926174496635,0.0,0.0,-6.183892617449663
12,$10^{-7}$/Mpc$^3$,SC,1.0,-2.8187919463087283,0.0,0.0,-6.418791946308728
13,$10^{-7}$/Mpc$^3$,SC,1.0,-3.053691275167786,0.0,0.0,-6.653691275167786
14,$10^{-7}$/Mpc$^3$,SC,1.0,-3.2885906040268473,0.0,0.0,-6.888590604026847
15,$10^{-7}$/Mpc$^3$,SC,1.0,-3.5234899328859086,0.0,0.0,-7.123489932885908
16,$10^{-7}$/Mpc$^3$,SC,1.0,-3.7583892617449663,0.0,0.0,-7.358389261744966
17,$10^{-7}$/Mpc$^3$,SC,1.0,-3.9932885906040276,0.0,0.0,-7.593288590604027
18,$10^{-7}$/Mpc$^3$,SC,1.0,-4.228187919463089,0.0,0.0,-7.828187919463089
19,$10^{-7}$/Mpc$^3$,SC,1.0,-4.463087248322147,0.0,0.0,-8.063087248322146
20,$10^{-7}$/Mpc$^3$,SC,1.0,-4.697986577181208,0.0,0.0,-8.297986577181208
